LMT Date,LMT Time,Latitude,Longitude,Elevation,,,,,
2014/03/02,06:00:00,-33.9474450,18.9604300,463,,,,,
2014/03/02,09:00:00,-33.9474600,18.9594667,452,,,,,
2014/03/02,12:00:00,-33.9474583,18.9593500,468,,,,,
2014/03/02,15:00:00,-33.9478450,18.9594833,506,,,,,
2014/03/02,18:00:00,-33.9478050,18.9594083,,,,,,
2014/03/03,03:00:00,-33.9477983,18.9593233,,,,,,
2014/03/03,06:00:00,-33.9500883,18.9635367,499,,,,,
2014/03/03,09:00:00,-33.9503467,18.9658900,512,,,,,
2014/03/03,12:00:00,-33.9517117,18.9659950,561,,,,,
2014/03/03,15:00:00,-33.9534083,18.9655500,666,,,,,
2014/03/03,18:00:00,-33.9534600,18.9639433,754,,,,,
2014/03/03,21:00:00,-33.9542133,18.9611733,688,,,,,
2014/03/04,03:00:00,-33.9531100,18.9642850,557,,,,,
2014/03/04,09:00:00,-33.9506900,18.9684283,505,,,,,
2014/03/04,12:00:00,-33.9507350,18.9654667,475,,,,,
2014/03/04,15:00:00,-33.9494317,18.9653350,512,,,,,
2014/03/04,18:00:00,-33.9516767,18.9638967,411,,,,,
2014/03/04,21:00:00,-33.9448350,18.9504250,484,,,,,
2014/03/05,00:00:00,-33.9449833,18.9471633,667,,,,,
2014/03/05,03:00:00,-33.9448283,18.9466217,577,,,,,
2014/03/05,06:00:00,-33.9447750,18.9441783,631,,,,,
2014/03/05,09:00:00,-33.9443633,18.9440600,592,,,,,
2014/03/05,12:00:00,-33.9434533,18.9439367,565,,,,,
2014/03/05,15:00:00,-33.9439883,18.9436833,,,,,,
2014/03/05,18:00:00,-33.9439167,18.9433933,584,,,,,
2014/03/05,21:00:00,-33.9457200,18.9339750,915,,,,,
2014/03/06,00:00:00,-33.9391667,18.9279333,765,,,,,
2014/03/06,03:00:00,-33.9406550,18.9277800,864,,,,,
2014/03/06,06:00:00,-33.9405033,18.9238900,472,,,,,
2014/03/06,09:00:00,-33.9407850,18.9232267,510,,,,,
2014/03/06,12:00:00,-33.9396933,18.9246067,633,,,,,
2014/03/06,15:00:00,-33.9395167,18.9249700,497,,,,,
2014/03/06,18:00:00,-33.9400483,18.9243867,560,,,,,
2014/03/06,21:00:00,-33.9305183,18.9139783,348,,,,,
2014/03/07,06:00:00,-33.9058950,18.9121133,386,,,,,
2014/03/07,09:00:00,-33.8882620,18.9244300,567,,,,,
2014/03/07,12:00:00,-33.8900000,18.9274170,905,,,,,
2014/03/07,21:00:00,-33.8898880,18.9267800,,,,,,
2014/03/07,22:01:04,-33.8894930,18.9265070,,,,,,
2014/03/08,00:00:00,-33.8898630,18.9269950,911,,,,,
2014/03/08,03:00:00,-33.8897900,18.9272930,891,,,,,
2014/03/08,06:00:00,-33.8899870,18.9274000,862,,,,,
2014/03/08,09:00:00,-33.8895950,18.9272650,929,,,,,
2014/03/08,12:00:00,-33.8897970,18.9269600,908,,,,,
2014/03/08,15:00:00,-33.8899770,18.9274080,936,,,,,
2014/03/09,00:00:00,-33.8927020,18.9311780,887,,,,,
2014/04/03,00:00:00,-33.8728450,18.9040250,652,,,,,
2014/04/26,00:00:00,-33.8467670,18.8973330,433,,,,,
2014/04/26,09:00:00,-33.8749480,18.9294320,554,,,,,
2014/04/27,00:00:00,-33.8989630,18.9198280,775,,,,,
2014/04/27,03:00:00,-33.8963780,18.8988020,227,,,,,
2014/08/02,06:00:00,-33.9770270,18.9736150,789,,,,,
2014/08/02,15:00:00,-33.9762130,18.9736880,852,,,,,
2014/08/03,00:00:00,-33.9888000,19.0026950,1443,,,,,
2014/08/03,06:00:00,-33.9694430,19.0162470,1434,,,,,
2014/08/03,09:00:00,-33.9664330,19.0368430,1282,,,,,
2014/08/09,21:49:00,-33.9698830,19.0154000,1441,,,,,
2014/08/09,21:53:00,-33.9694230,19.0159230,1441,,,,,
2014/08/10,00:00:00,-33.9708550,19.0357930,1088,,,,,
2014/08/10,00:56:00,-33.9711350,19.0408670,1001,,,,,
2014/08/10,01:13:00,-33.9710980,19.0410700,1038,,,,,
2014/08/10,01:52:00,-33.9704550,19.0392920,1054,,,,,
2014/08/10,03:00:00,-33.9689350,19.0469550,856,,,,,
2014/08/10,05:22:00,-33.9694180,19.0497120,860,,,,,
2014/08/10,06:00:00,-33.9682700,19.0569920,834,,,,,
2014/08/30,21:00:00,-33.9251850,19.0057430,1175,,,,,
2014/08/31,09:00:00,-33.9253470,19.0062070,1177,,,,,
2014/08/31,21:00:00,-33.9250920,19.0059000,1182,,,,,
2014/09/01,00:00:00,-33.9251370,19.0060380,1175,,,,,
2014/09/01,03:00:00,-33.9288350,19.0096620,1148,,,,,
2014/09/01,06:00:00,-33.9323920,19.0154630,1056,,,,,
2014/09/01,09:00:00,-33.9379770,19.0135820,970,,,,,
2014/09/09,12:00:00,-33.9786900,18.9259900,595,,,,,
